symptom,emergency_type,is_visible,risk_score
collapsed on ground,cardiac,1,10
unconscious,cardiac,1,10
not breathing properly,cardiac,1,10
gasping for air,cardiac,1,9
holding chest and collapsing,cardiac,1,9
sweating heavily and pale,cardiac,1,8
bluish lips or face,cardiac,1,9
confusion or dizziness,cardiac,1,8
rapid heartbeat observed,cardiac,1,8
nausea or vomiting with chest pain,cardiac,1,8
heavy vaginal bleeding during pregnancy,obstetric,1,10
pregnant woman collapsed,obstetric,1,10
severe abdominal pain during pregnancy,obstetric,1,9
baby not moving,obstetric,0,9
seizure observed in pregnant woman,obstetric,1,10
extreme swelling observed,obstetric,1,8
high fever in pregnant woman,obstetric,1,8
unconscious after labor complication,obstetric,1,10
excessive vomiting,obstetric,1,8
road accident with bleeding,trauma,1,10
unconscious after accident,trauma,1,10
head injury with bleeding,trauma,1,9
open wound with bone visible,trauma,1,9
multiple injuries,trauma,1,9
minor accident with pain,trauma,1,6
limb deformity / fracture observed,trauma,1,8
severe bleeding from limb,trauma,1,9
person trapped under object,trauma,1,10
dazed or confused after accident,trauma,1,8
person not responding to calls,general,1,10
bluish lips or face,general,1,10
vomiting continuously,general,1,8
high fever with confusion,general,1,8
seizure observed,general,1,10
difficulty speaking,general,1,9
slurred speech or facial droop,general,1,9
sudden severe headache,general,1,8
sudden collapse with convulsions,general,1,10
unresponsive after fall,general,1,9
